x,Y_H2O,Y_H2,Y_O2,Y_H,Y_OH,Y_HO2,rho,u,T,Y_H2O2,Y_AR,Y_N2,Y_O,p
0.03351620947631,0.08692529149268,0.00197465983932,0.01190189365999,0.00048652145133,0.0099096431799,8.8999504e-07,0.30198741586555,72.08521184479532,2657.0439834465724,0.0,0.88585060169584,0.0,0.00295049868591,197478.1348740867
0.03381546134663,0.0869091181173,0.00197461235338,0.01191442461997,0.00048700891301,0.00990931686424,9.0328455e-07,0.30199680914972,72.05584182388861,2656.1775707758643,0.0,0.88585077622692,0.0,0.00295383962063,197420.86904408992
0.03411471321696,0.08690966844417,0.0019745056012,0.01191944902131,0.00048730646462,0.00990361588801,9.2098865e-07,0.30204299610864,72.0231329365553,2654.941759865551,0.0,0.8858498672563,0.0,0.00295466633574,197360.02172413512
0.03441396508728,0.08691908436576,0.00197398080584,0.01192176206707,0.00048739606557,0.00989318498318,9.4336878e-07,0.30213823797939,72.00218135828419,2653.3364949300003,0.0,0.88585000361522,0.0,0.00295364472856,197301.2208239957
0.03471321695761,0.08692996157816,0.00197322310812,0.01192514207008,0.0004874307662,0.0098824646388,9.6605942e-07,0.30224732293225,71.9915070171872,2651.689803534918,0.0,0.88584825687419,0.0,0.00295255490503,197247.472400604
0.03501246882793,0.08693752927232,0.00197271540251,0.01193023560411,0.00048755833742,0.00987469069619,9.8504878e-07,0.30232810871136,71.97920572227741,2650.312491355392,0.0,0.88584387132652,0.0,0.00295241431215,197196.90527795308
0.03531172069825,0.08693554819115,0.00197276245292,0.01193705400842,0.00048791170879,0.00987131688794,9.9920955e-07,0.30236118283242,71.959606977867,2649.304981697372,0.0,0.88584045646956,0.0,0.00295395107166,197145.43394120404
0.03561097256858,0.08692932790031,0.0019728543814,0.01194409855968,0.00048830438094,0.00986876512126,1.01243536e-06,0.30238372842084,71.93903886664881,2648.373074213499,0.0,0.88583977953003,0.0,0.00295585769101,197092.52927216332
0.0359102244389,0.08692548405565,0.00197276078588,0.01195042908397,0.00048862189129,0.00986463882359,1.02725296e-06,0.30242323214741,71.93069308666836,2647.312893840151,0.0,0.88583985870593,0.0,0.00295717940073,197040.00250863953
0.03620947630923,0.08692555417193,0.00197246856425,0.01195576731328,0.00048884400497,0.00985895858533,1.04325004e-06,0.30248333468678,71.94949736935614,2646.1433591336377,0.0,0.88583955922346,0.0,0.00295780488674,196991.7228432308
0.03650872817955,0.08692861379345,0.0019722256789,0.01195794545728,0.00048900387894,0.00985186410056,1.05912122e-06,0.30256205357635,72.00799508825382,2644.94990984764,0.0,0.88584171903884,0.0,0.00295756893079,196953.4435580309
0.03680798004988,0.08693721395481,0.00197187999769,0.01195658561903,0.00048904997287,0.00984207500759,1.07648693e-06,0.30267116048672,72.0908385816828,2643.60804485591,0.0,0.88584605985996,0.0,0.00295605910112,196922.8348295635
0.0371072319202,0.08695084805699,0.00197129059674,0.01195479905459,0.00048899527897,0.00983041216625,1.095714e-06,0.30280322293435,72.17246774833818,2642.106220556498,0.0,0.88584873669554,0.0,0.00295382243692,196894.15047349953
