x,u,Y_OH,Y_HO2,rho,Y_O2,p,Y_N2,Y_H2O,Y_H2,Y_H,Y_AR,Y_H2O2,T,Y_O
0.03082294264339,27.19627408090648,0.01059138872731,3.37776682e-06,0.34038208447002,0.01535938327054,207572.39360200457,0.0,0.08021757832749,0.00233156609691,0.00084165918339,0.885862374954,0.0,2443.1108956637204,0.00479267167355
0.03112219451372,29.24759296984779,0.01058474822256,3.40686393e-06,0.34063622468882,0.015387702871,207579.5300513131,0.0,0.08019267182035,0.00233234302703,0.00084404965542,0.88585167652054,0.0,2441.1872752170157,0.00480340101917
0.03142144638404,29.28688791013853,0.01059700696859,3.40335704e-06,0.34149321470743,0.01541513941403,208148.33261988705,0.0,0.08014206197269,0.00233386508262,0.0008458632748,0.88584667935997,0.0,2441.572156374714,0.00481598057027
0.03172069825436,28.89896566025713,0.01061212840404,3.3910065e-06,0.34259707128874,0.01543439849971,208908.14236052576,0.0,0.08009009495884,0.00233568514682,0.0008474461179,0.88584929983768,0.0,2442.4372298394965,0.0048275560285
0.03201995012469,29.8194540517851,0.0106176563005,3.3945533e-06,0.34340998768485,0.01544652282982,209361.61505882192,0.0,0.08005805939735,0.00233701312039,0.00084891836527,0.88585215275807,0.0,2441.8095826132403,0.00483628267529
0.03231920199501,32.45967737096689,0.01060024770616,3.43853413e-06,0.34349134508279,0.01546206858645,209124.03252900028,0.0,0.08005429414561,0.0023367451314,0.00085076430166,0.88585012321319,0.0,2438.357025857001,0.0048423183814
0.03261845386534,35.72295009392553,0.01057699091264,3.49181688e-06,0.34342392100838,0.0154831566104,208754.3831178602,0.0,0.08005494057263,0.00233615320927,0.00085279289612,0.88584465035119,0.0,2434.423067812648,0.00484782363088
0.03291770573566,37.26681417889331,0.01057257529972,3.50878921e-06,0.34407610659688,0.01550471920278,209075.15559174647,0.0,0.08003358921533,0.00233695886149,0.00085457729298,0.88583879367381,0.0,2433.4030810852987,0.00485527766469
0.03321695760599,36.56504792169674,0.0105889998333,3.49001185e-06,0.34529679302329,0.015519147408,209949.08637941684,0.0,0.07998935781621,0.00233913275232,0.00085589775097,0.88583915005875,0.0,2434.777750221226,0.00486482436858
0.03351620947631,35.73970673374225,0.01060998798562,3.46075425e-06,0.34675948293598,0.01552722415126,211013.8584092795,0.0,0.07994764381391,0.00234130737581,0.00085677933161,0.88584013374746,0.0,2436.6666164162593,0.00487346284007
0.03381546134663,37.39510320128783,0.01061482951919,3.46547882e-06,0.34751705535382,0.01553659714811,211414.90136677463,0.0,0.0799239194267,0.00234213441463,0.0008579403469,0.88583988245676,0.0,2435.8701174303524,0.00488123120888
0.03411471321696,40.83157323978701,0.01059867850919,3.5085692e-06,0.34745192726197,0.01555074819691,211098.69976990632,0.0,0.07991572341202,0.00234187140472,0.00085985677386,0.88584165391114,0.0,2432.579587933492,0.00488795922296
0.03441396508728,44.72104458376032,0.01057845246081,3.55244505e-06,0.34739628486756,0.01556365428297,210797.3630589108,0.0,0.07991261580723,0.00234166612906,0.00086168161157,0.88584622453894,0.0,2429.4049798210517,0.00489215272437
0.03471321695761,46.0427808604424,0.01057446859152,3.55490189e-06,0.34850423228622,0.01557028900473,211465.15141656023,0.0,0.07990405174675,0.00234235432532,0.00086240015705,0.8858496954859,0.0,2429.2963472370957,0.00489318578684
0.03501246882793,45.43011559440633,0.01058661773852,3.53082981e-06,0.35014434716372,0.0155732961003,212600.932895451,0.0,0.07988594391754,0.00234372904718,0.00086257818785,0.88584843106549,0.0,2430.839435319601,0.00489587311332
