x,u,Y_HO2,p,Y_OH,Y_H2O,Y_N2,Y_H,Y_H2O2,rho,Y_O,Y_AR,Y_O2,T,Y_H2
0.0098753117207,8.83762746793703,4.62947922e-06,186207.64449469588,0.01051081176416,0.07782113658279,0.0,0.0010110015761,0.0,0.31582306278465,0.00558074387001,0.88586626634914,0.01677562358068,2348.5720678205444,0.0024297867979
0.01017456359102,9.29925520574895,4.68343661e-06,186164.94534685084,0.0104839310084,0.07779627791114,0.0,0.00101489800213,0.0,0.31628893933555,0.00559154874899,0.88586981288629,0.01680857955368,2344.346708394021,0.00243026845275
0.01047381546135,8.7154702741003,4.74733369e-06,186300.61183966548,0.01046100197262,0.07774603808838,0.0,0.00102029125289,0.0,0.31710356314678,0.00561166901271,0.88586337350243,0.01686147579374,2339.6773844102336,0.00243140304354
0.01077306733167,7.74373485118283,4.8141212e-06,186439.79293112707,0.01044356149088,0.07765054123996,0.0,0.00102750682965,0.0,0.3179414227957,0.00564185645798,0.8858748087725,0.01692305365906,2334.779644336593,0.00243385742877
0.011072319202,7.41673601733127,4.88717796e-06,186431.1046343822,0.01041629068204,0.07760674159906,0.0,0.001033819913,0.0,0.3186493559756,0.00566373923381,0.88586714682579,0.01697155925421,2329.0295352408607,0.00243581531412
0.01137157107232,8.24109249348145,4.93600012e-06,186230.89029133477,0.01040006689977,0.07758290881855,0.0,0.00103853581955,0.0,0.31879882233145,0.00568092830137,0.88584903555243,0.01700591960064,2325.0513885926393,0.00243766900757
0.01167082294264,9.58581847756198,4.95935796e-06,186069.0471234779,0.01039733384672,0.07751842324385,0.0,0.00104256333948,0.0,0.3187421623438,0.00569892984523,0.88586657364961,0.0170315670057,2323.1666493861476,0.00243964971145
0.01197007481297,10.40909239639096,5.00262735e-06,186181.19298193743,0.01038523704273,0.07745917546347,0.0,0.00104706996937,0.0,0.31929859619474,0.0057176460377,0.88587236438207,0.01707270688763,2320.2362530561286,0.00244079758969
0.01226932668329,10.46034413057342,5.12453724e-06,186492.21484223043,0.01032667704418,0.07745660623834,0.0,0.00105368626727,0.0,0.32101050124814,0.00573307658813,0.88584497093163,0.01713955720508,2311.327785713621,0.00244030118813
0.01256857855362,10.45911851597116,5.21507746e-06,186851.51563773007,0.01029240658346,0.07740709512769,0.0,0.00106038137881,0.0,0.32244881151509,0.00575544663573,0.88583802205509,0.01720005675517,2305.0294365758546,0.00244137638658
0.01286783042394,11.08976485560965,5.18832825e-06,187022.26104429175,0.01031993303198,0.07730545009477,0.0,0.00106269596793,0.0,0.32242628377482,0.00577306098866,0.88588799185192,0.01720099541026,2307.1219918350935,0.00244468432624
0.01316708229426,12.44943002610552,5.12881458e-06,186964.49714531488,0.01036341568827,0.07725509208806,0.0,0.00106208503659,0.0,0.32167383483557,0.0057827415251,0.88589373349759,0.01719069180656,2311.744577836768,0.00244711154325
0.01346633416459,13.98057217677346,5.06240487e-06,186856.11785056256,0.01041367479603,0.07721816411678,0.0,0.00106139122641,0.0,0.32072964277473,0.00579355405557,0.88587514487846,0.01718296553369,2317.0806071593684,0.00245004298819
0.01376558603491,14.7951771342387,5.00310713e-06,186973.08632649915,0.0104584267634,0.07718421857781,0.0,0.00106174202707,0.0,0.32021727859789,0.0058036369745,0.88586512492416,0.01716723036534,2321.9913360995256,0.00245461726058
0.01406483790524,14.65945176260557,4.98808367e-06,187284.4438991048,0.01046521388655,0.07718547754899,0.0,0.00106353343189,0.0,0.32057780815957,0.00580358863106,0.88588500308513,0.01713227154367,2322.9136161904694,0.00245992378904
0.01436408977556,14.38092135794529,5.09803495e-06,187646.8718599211,0.01037144741836,0.07726926568067,0.0,0.00106675587045,0.0,0.32251847146486,0.00577953498537,0.88595245182961,0.01709510695066,2313.2843803950313,0.00246033922994
0.01466334164589,15.16083883981281,5.31752772e-06,187782.85212852657,0.01021674416769,0.07735108539267,0.0,0.00107109551236,0.0,0.32525705137058,0.00575747930779,0.88601372477424,0.01713270566521,2295.7063168764894,0.00245184765232
