x,gamma
3.3790523690773074E-002,1.5343943909250770
3.4039900249376566E-002,1.5330308359832234
3.4289276807980051E-002,1.5326187679126357
3.4538653366583544E-002,1.5324735353227148
3.4788029925187036E-002,1.5324259496168100
3.5037406483790529E-002,1.5324111705194241
3.5286783042394021E-002,1.5324063322940491
3.5536159600997513E-002,1.5324022161375945
3.5785536159601006E-002,1.5323992447099817
3.6034912718204498E-002,1.5324002225863251
3.6284289276807984E-002,1.5324030736128673
3.6533665835411476E-002,1.5324158304659943
3.6783042394014968E-002,1.5324216303899016
3.7032418952618461E-002,1.5324230167475101
3.7281795511221953E-002,1.5324233633473601
3.7531172069825439E-002,1.5324213712874568
3.7780548628428931E-002,1.5324173628015345
3.8029925187032423E-002,1.5324148190116418
3.8279301745635916E-002,1.5324154159125805
3.8528678304239408E-002,1.5324205458365827
3.8778054862842901E-002,1.5324247400744508
3.9027431421446393E-002,1.5324267573092827
3.9276807980049878E-002,1.5324270320508273
3.9526184538653371E-002,1.5324264931498628
3.9775561097256863E-002,1.5324252348930054
4.0024937655860356E-002,1.5324243771959087
4.0274314214463848E-002,1.5324247202928984
4.0523690773067340E-002,1.5324256072354379
4.0773067331670826E-002,1.5324266894179108
4.1022443890274318E-002,1.5324262044645869
4.1271820448877811E-002,1.5324256020754814
4.1521197007481303E-002,1.5324249526153864
4.1770573566084795E-002,1.5324242473295773
4.2019950124688288E-002,1.5324229578300177
4.2269326683291780E-002,1.5324227825439776
4.2518703241895266E-002,1.5324233027736587
4.2768079800498758E-002,1.5324235676000355
4.3017456359102250E-002,1.5324242519436295
4.3266832917705743E-002,1.5324243294223969
4.3516209476309235E-002,1.5324246992160653
4.3765586034912721E-002,1.5324247409293463
4.4014962593516213E-002,1.5324245067147964
4.4264339152119705E-002,1.5324242731361331
4.4513715710723198E-002,1.5324245003343495
4.4763092269326690E-002,1.5324246477744927
4.5012468827930183E-002,1.5324243668475341
4.5261845386533675E-002,1.5324240393134378
4.5511221945137167E-002,1.5324240707883876
4.5760598503740653E-002,1.5324241834504218
4.6009975062344145E-002,1.5324242654203979
4.6259351620947638E-002,1.5324241808054275
4.6508728179551130E-002,1.5324241250581958
4.6758104738154622E-002,1.5324243467090086
4.7007481296758108E-002,1.5324244856980616
4.7256857855361600E-002,1.5324245390689919
4.7506234413965093E-002,1.5324245879996217
4.7755610972568585E-002,1.5324246483535291
4.8004987531172078E-002,1.5324246981564591
4.8254364089775570E-002,1.5324244915078973
4.8503740648379062E-002,1.5324242838903448
4.8753117206982555E-002,1.5324240789845611
4.9002493765586040E-002,1.5324239156802399
4.9251870324189533E-002,1.5324238167015853
4.9501246882793025E-002,1.5324237312525686
4.9750623441396517E-002,1.5324236913873623
5.0000000000000010E-002,1.5324237304433892
5.0249376558603495E-002,1.5324238312338676
5.0498753117206988E-002,1.5324240263317397
5.0748129675810480E-002,1.5324242181667451
5.0997506234413972E-002,1.5324244813307815
5.1246882793017465E-002,1.5324248901517836
5.1496259351620957E-002,1.5324258576682510
5.1745635910224450E-002,1.5324267335329598
5.1995012468827942E-002,1.5324275374226244
5.2244389027431427E-002,1.5324281130815969
5.2493765586034920E-002,1.5324283625415549
5.2743142144638412E-002,1.5324285478909188
5.2992518703241905E-002,1.5324283025305006
5.3241895261845397E-002,1.5324283295230179
5.3491271820448882E-002,1.5324282098854727
5.3740648379052375E-002,1.5324281103416995
5.3990024937655867E-002,1.5324284372115500
5.4239401496259360E-002,1.5324292678881579
5.4488778054862852E-002,1.5324293710484456
5.4738154613466344E-002,1.5324282111379208
